branch_name,fbus,tbus,r,x,b,P_f,Q_f,P_t,Q_t
西当別変電所Tr,1,2,0,0.199,0,128.8163348,-2.213522424,-128.8163348,5.511806085
西当別変電所Tr,1,2,0,0.21,0,122.0688125,-2.097576012,-122.0688125,5.223092433
西当別変電所Tr,1,2,0,0.199,0,128.8163348,-2.213522424,-128.8163348,5.511806085
道央北幹線,1,3,0.002875,0.065055,0.0188,204.5820368,-29.46712963,-204.4607285,13.36940706
西野変電所Tr,3,4,0,0.209,0,124.6339321,7.626281746,-124.6339321,-4.377591054
西野変電所Tr,3,4,0,0.208,0,125.2331337,7.662946562,-125.2331337,-4.398637165
西野変電所Tr,3,4,0,0.198,0,131.5580394,8.049964065,-131.5580394,-4.620790557
道央西幹線,5,3,0.003,0.08,0.024,132.6713915,3.92072589,-132.618155,-26.6137953
泊幹線,6,3,0.006,0.131,0.039,44.358521,-28.71930667,-44.34622176,-10.09480413
後志幹線1,6,7,0.007,0.089,0.025,-44.358521,-12.82300721,44.37227941,-12.03978044
後志幹線2,5,7,0.004,0.045,0.013,20.38302566,41.29267321,-20.37227941,-54.22489261
道央南幹線,8,5,0.009,0.145,0.042,305.5233743,-42.80187455,-304.6820052,14.15021656
南早来線,10,8,0.003,0.03,0.009,494.6635426,-59.61135515,-493.9225673,57.9917575
苫東厚真線,10,8,0.003,0.032,0.009,464.3364574,-53.32456934,-463.6844278,51.25020077
道央東幹線,8,1,0.008,0.179,0.053,232.2133812,-26.34671197,-231.783519,-17.16778071
篠路線,2,11,0.009,0.094,0.003,145.7540924,-2.891806645,-145.5634489,1.877230218
西札幌線,12,11,0.0069725,0.04996,0.0018,-89.41049983,0.476365865,89.46626973,-1.877230218
室蘭西幹線1,4,12,0.006,0.058,0.002,75.88978782,-1.190047988,-75.85525161,-0.476365865
室蘭西幹線2,13,4,0.046,0.242,0.008,-8.221206445,-2.339599832,8.224440721,-5.648093894
室蘭西幹線3,14,13,0.045,0.262,0.009,68.83360468,-16.22504094,-68.61427659,8.49783815
室蘭西幹線4,14,15,0.007,0.04,0.001,-27.02889308,-4.064748468,27.0340943,3.093819191
双葉幹線,16,14,0.056,0.307,0.01,9.701468508,-7.478309902,-9.695853029,-2.491860053
室蘭東幹線,16,15,0.104,0.364,0.012,4.836786919,-8.899736001,-4.833478529,-3.093819191
苫小牧火力線,17,16,0.015,0.116,0.004,145.5214107,-17.89317938,-145.2000579,16.3780459
勇払線1,18,17,0.001,0.021,0.001,100.9154183,-0.182414436,-100.905239,-0.604184972
勇払線2,9,18,0.005,0.069,0.003,100.9674487,14.28052648,-100.9154183,-16.56862113
追分線,9,19,0.017,0.137,0.005,174.2638829,-17.07955706,-173.7458881,16.23932956
他社線39,19,20,0.012,0.097,0.004,175.6917906,-7.916243303,-175.3217945,6.903574592
他社線40,20,21,0.013,0.102,0.004,123.6434293,-6.903574591,-123.444273,4.472369342
南札幌幹線,22,21,0.015,0.089,0.003,70.783189,1.922950003,-70.70786837,-4.472369342
北江別線,2,22,0.008,0.112,0.004,140.0995375,1.951087017,-139.9428594,-3.763834817
道南幹線,23,5,0.052,0.347,0.099,-150.4348511,-31.98985299,151.6275881,-59.36361565
北斗幹線,24,23,0.001,0.007,0.002,-450.5785574,-10.21387184,450.7818748,9.638134455
大野線,25,26,0.007,0.055,0.002,205.4675556,10.42148011,-205.170926,-10.08548095
函館幹線1,27,13,0.155,0.549,0.017,-75.86226461,14.41248508,76.83548304,-27.97238396
函館幹線2,28,27,0.034605,0.122845,0.00378,-75.64928277,18.88770056,75.86226461,-21.91198895
函館幹線3,26,28,0.092,0.327,0.01,-75.1069015,10.08548096,75.64928277,-18.13421161
道北幹線,2,29,0.043,0.538,0.032,20.65737381,-15.30598498,-20.63905584,-16.52164345
名寄幹線2,29,30,0.005,0.023,0.001,16.07296165,-3.429099017,-16.0716278,2.434697619
旭川幹線,31,30,0.104,0.348,0.011,8.507849327,-8.540705853,-8.499361873,-2.434697619
